contentid,title,addr1,addr2,mapx,mapy,firstimage
3537624,도깨비젤라또,강원특별자치도 강릉시 주문진읍 해안로 1605,"1, 2층",128.8337851075,37.8795082163,
3535741,도자기카페 안다미로,강원특별자치도 강릉시 구정면 구정옥봉길 175,1층,128.8928714943,37.6984136585,
3533366,돈미소,강원특별자치도 강릉시 하슬라로 195 (교동),1층,128.8751765139,37.7674136678,
3532877,돈우마을,강원특별자치도 강릉시 주문진읍 연주로 245-3,,128.8297661730,37.8747448005,
3534254,돌체테리아,강원특별자치도 강릉시 하슬라로206번길 4-3 (교동),,128.8761847449,37.7677608695,
2670742,동궁염소탕,강원특별자치도 강릉시 강릉대로419번길 17,,128.9087399987,37.7725220644,http://tong.visitkorea.or.kr/cms/resource/41/2670741_image2_1.jpg
2670847,동궁염소탕 중앙,강원특별자치도 강릉시 경강로2103번길 15,,128.8956472365,37.7562431367,http://tong.visitkorea.or.kr/cms/resource/19/2670919_image2_1.jpg
3533526,동보성,강원특별자치도 강릉시 산양큰길22번길 49 (포남동),,128.9181666803,37.7804796616,
3533428,동부감자옹심이,강원특별자치도 강릉시 옥천로 48 (옥천동),1층 92호,128.9006050204,37.7595789584,
2685554,동산항물회,강원특별자치도 강릉시 경강로2267번길 22,,128.9080763334,37.7672032219,http://tong.visitkorea.or.kr/cms/resource/20/2684820_image2_1.jpg
2868991,동일장칼국수,강원특별자치도 강릉시 강변로534번길 61,,128.9236166386,37.7659703348,http://tong.visitkorea.or.kr/cms/resource/81/2868981_image2_1.jpg
3536758,동해바다샾1971,강원특별자치도 강릉시 하평5길 2 (포남동),,128.9184391887,37.7704474937,
3536552,동해횟집,강원특별자치도 강릉시 창해로350번길 31 (강문동),,128.9169162911,37.7966694298,
3533670,두딩,강원특별자치도 강릉시 강릉대로 197 (교동),,128.8921641583,37.7581650685,
2869003,두에시스,강원특별자치도 강릉시 금성로14번길 7,성호빌딩 2층,128.8983109263,37.7549377840,http://tong.visitkorea.or.kr/cms/resource/95/2868995_image2_1.jpg
3535794,똥고집,강원특별자치도 강릉시 월대산로 85-8 (입암동),,128.9196421688,37.7604153442,
3537806,뚝배기양평해장국 포남점,"강원특별자치도 강릉시 경강로2267번길 18 (포남동, 수계 상가아파트)",,128.9084207517,37.7670588018,
3536938,뚱보냉면,강원특별자치도 강릉시 토성로 156-2 (임당동),,128.8936835525,37.7553404251,
3535139,뚱할머니순두부,강원특별자치도 강릉시 난설헌로 142 (포남동),,128.9079646164,37.7871092505,
2869020,라몬타냐,강원특별자치도 강릉시 관솔길 22-10,,128.8681808072,37.7387418481,http://tong.visitkorea.or.kr/cms/resource/14/2869014_image2_1.jpg
3535808,라보엠,강원특별자치도 강릉시 성산면 백두대간로 2775-19,,128.8245215860,37.7148937574,
2891906,라티엔다,강원특별자치도 강릉시 난곡길 219,,128.8748782472,37.8020402102,http://tong.visitkorea.or.kr/cms/resource/96/2891896_image2_1.jpg
3533850,래원,강원특별자치도 강릉시 동부시장길 9 (옥천동),,128.8999717671,37.7588401427,
2927601,로지커피,강원특별자치도 강릉시 창해로14번길 52,,128.9499446736,37.7708008460,http://tong.visitkorea.or.kr/cms/resource/79/2927579_image2_1.JPG
3538351,롯데리아 강릉내곡점,강원특별자치도 강릉시 범일로 663 (내곡동),,128.8846874454,37.7454913890,
3535799,롯데리아 강릉입암점,강원특별자치도 강릉시 성덕포남로 46 (입암동),"1, 2층",128.9200866046,37.7594043589,
2891927,롱블랙,강원특별자치도 강릉시 창해로362번길 12,,128.9177884667,37.7956334557,http://tong.visitkorea.or.kr/cms/resource/18/2891918_image2_1.jpg
2891940,르 블루,강원특별자치도 강릉시 임영로 99-6,,128.8950196918,37.7505465614,http://tong.visitkorea.or.kr/cms/resource/38/2891938_image2_1.jpeg
2891972,르봉마젤,강원특별자치도 강릉시 임영로180번길 16,,128.8934001928,37.7570152258,http://tong.visitkorea.or.kr/cms/resource/63/2891963_image2_1.jpg
2868746,리틀다이너,강원특별자치도 강릉시 성덕로 105 (병산동),,128.9405151402,37.7652124193,http://tong.visitkorea.or.kr/cms/resource/23/2868723_image2_1.jpg
2913298,마마타타,강원특별자치도 강릉시 경포로 33-25 2층,,128.8787898796,37.7737907780,http://tong.visitkorea.or.kr/cms/resource/86/2919586_image2_1.jpg
2892006,마시와 본점,강원특별자치도 강릉시 사천면 동해대로 3957,,128.8442410617,37.8362134348,http://tong.visitkorea.or.kr/cms/resource/95/2891995_image2_1.jpg
3536411,만동면옥,강원특별자치도 강릉시 공항길43번길 8 (병산동),,128.9412317945,37.7635459593,
2892062,만동제과,강원특별자치도 강릉시 금성로 6 (옥천동),,128.8995302524,37.7552099985,http://tong.visitkorea.or.kr/cms/resource/61/2892061_image2_1.png
3533884,만선감자옹심이,강원특별자치도 강릉시 공항길 46 (병산동),,128.9412040361,37.7629821355,
3539177,맘스터치 강릉내곡점,강원특별자치도 강릉시 남부로17번길 33 (내곡동),,128.8819516643,37.7427833156,
2868676,맛드린,강원특별자치도 강릉시 죽헌길85번길 6,,128.8747540195,37.7774430544,http://tong.visitkorea.or.kr/cms/resource/62/2868662_image2_1.jpg
3536080,맛마루부대찌개,강원특별자치도 강릉시 해안로 298-5 (강문동),,128.9193634337,37.7921227817,
3536384,맛있는대게 홍게,강원특별자치도 강릉시 주문진읍 항구로 66,,128.8286407201,37.8926149302,
3535673,맥도날드 강릉점,강원특별자치도 강릉시 경강로 2097 (임당동),,128.8961305649,37.7550099553,
3535836,맥시칸치킨 정동점,강원특별자치도 강릉시 강동면 헌화로 1078,,129.0326314332,37.6890952408,
2674182,머구리횟집,강원특별자치도 강릉시 창해로 19,,128.9448033716,37.7739864882,http://tong.visitkorea.or.kr/cms/resource/04/2672904_image2_1.jpg
2913297,메밀골동해막국수 강문점,강원특별자치도 강릉시 창해로350번길 25,1층 메밀골동해막국수 강문점,128.9172912659,37.7963861364,http://tong.visitkorea.or.kr/cms/resource/76/2919576_image2_1.jpg
2775525,메시56,강원특별자치도 강릉시 초당순두부길 56 (초당동),,128.9146278670,37.7883259065,
3535858,멕시칸치킨 연곡점,강원특별자치도 강릉시 연곡면 진고개로 2719,,128.8364938177,37.8594717010,
3536521,명경막국수,강원특별자치도 강릉시 저동골길 5 (저동),,128.8962403815,37.7965245984,
2868647,명성옥,강원특별자치도 강릉시 노암등길 92,,128.9008555791,37.7407866924,http://tong.visitkorea.or.kr/cms/resource/37/2868637_image2_1.jpg
2685300,명품횡성한우고집,강원특별자치도 강릉시 율곡초교길11번길 15,,128.8796538979,37.7670943472,http://tong.visitkorea.or.kr/cms/resource/79/2684579_image2_1.jpg
3069499,무명,강원특별자치도 강릉시 새냉이길27번길 4 (홍제동),,128.8832290385,37.7521211490,http://tong.visitkorea.or.kr/cms/resource/69/3050469_image2_1.jpg
2685291,문가네소머리국밥,강원특별자치도 강릉시 연곡면 남평길 71,,128.8489538699,37.8573666323,http://tong.visitkorea.or.kr/cms/resource/65/2684565_image2_1.jpg
3534140,미림식당,강원특별자치도 강릉시 주문진읍 항구3길 3,,128.8298211187,37.8942369875,
3535772,미림헌,강원특별자치도 강릉시 남부로17번길 25 (내곡동),,128.8815489369,37.7423278050,
2868612,미트컬쳐,강원특별자치도 강릉시 경강로 2629,1층,128.9468115786,37.7722256200,http://tong.visitkorea.or.kr/cms/resource/79/2868579_image2_1.jpg
3536170,바다구이탕탕,강원특별자치도 강릉시 창해로 283 (강문동),,128.9228132064,37.7894287164,
2870121,바다마을횟집,강원특별자치도 강릉시 정동등명길 23,,129.0161852292,37.7039570909,http://tong.visitkorea.or.kr/cms/resource/10/2870110_image2_1.jpg
3532988,바다식당,강원특별자치도 강릉시 주문진읍 주문로 112,,128.8275768984,37.8935620219,
2892089,바우카페,강원특별자치도 강릉시 연곡면 해안로 1437,,128.8465287508,37.8682625450,http://tong.visitkorea.or.kr/cms/resource/86/2892086_image2_1.jpg
3535427,배니닭강정,강원특별자치도 강릉시 금성로13번길 3-1 (성남동),,128.8991719800,37.7542850985,
3535197,배스킨라빈스강릉주문진점,강원특별자치도 강릉시 주문진읍 주문로 53,,128.8254800133,37.8888097540,
3535268,백경횟집(홍게무한리필),강원특별자치도 강릉시 주문진읍 항구로 63,,128.8284629456,37.8930343226,
2781674,벌집,강원특별자치도 강릉시 경강로2069번길 15,(임당동),128.8928669852,37.7545182819,http://tong.visitkorea.or.kr/cms/resource/87/2785887_image2_1.jpg
3536522,베이커리가루 입암점,강원특별자치도 강릉시 월대산로 64 (입암동),1호,128.9174701587,37.7598848077,
3535610,보리향기,강원특별자치도 강릉시 성산면 구산길 39,,128.8318708548,37.7171380845,
3533451,보배골,강원특별자치도 강릉시 강변로 260-8 (노암동),,128.8973306461,37.7488856875,
2662628,보헤미안 박이추커피,강원특별자치도 강릉시 사천면 해안로 1107,박이추커피공장,128.8669136848,37.8469181930,http://tong.visitkorea.or.kr/cms/resource/38/3560938_image2_1.jpg
